config,fid,seed,reported_best,true_best,reached,crashed,real_evals,counted_evals,stage,gens,zero_hq_rows
published,1,1,0.0,0.0,True,,2627,2185,1,437,0
published,1,2,0.0,0.0,True,,2603,2165,1,433,0
published,1,3,0.0,0.0,True,,2591,2155,1,431,0
published,1,4,0.0,0.0,True,,2651,2205,1,441,0
published,1,5,0.0,0.0,True,,2627,2185,1,437,0
published,1,6,0.0,0.0,True,,2597,2160,1,432,0
published,1,7,0.0,0.0,True,,2615,2175,1,435,0
published,1,8,0.0,0.0,True,,2609,2170,1,434,0
published,1,9,0.0,0.0,True,,2651,2205,1,441,0
published,1,10,0.0,0.0,True,,2645,2200,1,440,0
published,1,11,0.0,0.0,True,,2675,2225,1,445,0
published,1,12,0.0,0.0,True,,2669,2220,1,444,0
published,1,13,0.0,0.0,True,,2627,2185,1,437,0
published,1,14,0.0,0.0,True,,2699,2245,1,449,0
published,1,15,0.0,0.0,True,,2669,2220,1,444,0
published,1,16,0.0,0.0,True,,2651,2205,1,441,0
published,1,17,0.0,0.0,True,,2633,2190,1,438,0
published,1,18,0.0,0.0,True,,2633,2190,1,438,0
published,1,19,0.0,0.0,True,,2639,2195,1,439,0
published,1,20,0.0,0.0,True,,2650,2205,1,441,0
published,1,21,0.0,0.0,True,,2627,2185,1,437,0
published,1,22,0.0,0.0,True,,2621,2180,1,436,0
published,1,23,0.0,0.0,True,,2681,2230,1,446,0
published,1,24,0.0,0.0,True,,2585,2150,1,430,0
published,1,25,0.0,0.0,True,,2657,2210,1,442,0
published,1,26,0.0,0.0,True,,2633,2190,1,438,0
published,1,27,0.0,0.0,True,,2663,2215,1,443,0
published,1,28,0.0,0.0,True,,2627,2185,1,437,0
published,1,29,0.0,0.0,True,,2650,2205,1,441,0
published,1,30,0.0,0.0,True,,2615,2175,1,435,0
published,2,1,0.0,0.0,True,,5057,4210,1,842,0
published,2,2,0.0,0.0,True,,4949,4120,1,824,0
published,2,3,0.0,0.0,True,,4973,4140,1,828,0
published,2,4,0.0,0.0,True,,5033,4190,1,838,0
published,2,5,0.0,0.0,True,,5027,4185,1,837,0
published,2,6,0.0,0.0,True,,4997,4160,1,832,0
published,2,7,0.0,0.0,True,,5003,4165,1,833,0
published,2,8,0.0,0.0,True,,5033,4190,1,838,0
published,2,9,0.0,0.0,True,,5033,4190,1,838,0
published,2,10,0.0,0.0,True,,4961,4130,1,826,0
published,2,11,0.0,0.0,True,,4937,4110,1,822,0
published,2,12,0.0,0.0,True,,5033,4190,1,838,0
published,2,13,0.0,0.0,True,,5057,4210,1,842,0
published,2,14,0.0,0.0,True,,5051,4205,1,841,0
published,2,15,0.0,0.0,True,,5030,4190,1,838,0
published,2,16,0.0,0.0,True,,4949,4120,1,824,0
published,2,17,0.0,0.0,True,,4997,4160,1,832,0
published,2,18,0.0,0.0,True,,4943,4115,1,823,0
published,2,19,0.0,0.0,True,,4961,4130,1,826,0
published,2,20,0.0,0.0,True,,5015,4175,1,835,0
published,2,21,0.0,0.0,True,,4985,4150,1,830,0
published,2,22,0.0,0.0,True,,4961,4130,1,826,0
published,2,23,0.0,0.0,True,,4949,4120,1,824,0
published,2,24,0.0,0.0,True,,5045,4200,1,840,0
published,2,25,0.0,0.0,True,,5009,4170,1,834,0
published,2,26,0.0,0.0,True,,4991,4155,1,831,0
published,2,27,0.0,0.0,True,,4997,4160,1,832,0
published,2,28,0.0,0.0,True,,4883,4065,1,813,0
published,2,29,0.0,0.0,True,,5015,4175,1,835,0
published,2,30,0.0,0.0,True,,5032,4190,1,838,0
published,3,1,0.0,0.0,True,,2987,2485,1,497,0
published,3,2,0.0,0.0,True,,3137,2610,1,522,0
published,3,3,0.0,0.0,True,,2789,2320,1,464,0
published,3,4,0.0,0.0,True,,3011,2505,1,501,0
published,3,5,0.0,0.0,True,,2789,2320,1,464,0
published,3,6,0.0,0.0,True,,2951,2455,1,491,0
published,3,7,0.0,0.0,True,,3095,2575,1,515,0
